
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0    250,576 K
Secure System                  204 Services                   0     80,612 K
Registry                       260 Services                   0     57,000 K
smss.exe                       796 Services                   0      1,144 K
csrss.exe                     1116 Services                   0      5,004 K
wininit.exe                   1208 Services                   0      6,604 K
csrss.exe                     1220 Console                    1     15,260 K
services.exe                  1288 Services                   0     14,624 K
LsaIso.exe                    1308 Services                   0      4,632 K
lsass.exe                     1316 Services                   0     31,364 K
svchost.exe                   1444 Services                   0     28,536 K
winlogon.exe                  1512 Console                    1     11,012 K
fontdrvhost.exe               1552 Services                   0      3,004 K
fontdrvhost.exe               1628 Console                    1      6,796 K
svchost.exe                   1636 Services                   0     16,316 K
svchost.exe                   1708 Services                   0     10,116 K
svchost.exe                   1812 Services                   0      5,040 K
svchost.exe                   1820 Services                   0     11,624 K
svchost.exe                   1880 Services                   0      8,024 K
svchost.exe                   1888 Services                   0      4,880 K
svchost.exe                   1896 Services                   0      7,632 K
svchost.exe                   1980 Services                   0      8,560 K
svchost.exe                   2012 Services                   0      9,536 K
svchost.exe                   2028 Services                   0      8,724 K
svchost.exe                   2036 Services                   0      9,424 K
IntelCpHDCPSvc.exe            1560 Services                   0      5,168 K
svchost.exe                   1956 Services                   0     24,560 K
svchost.exe                   2108 Services                   0      5,304 K
svchost.exe                   2156 Services                   0     18,672 K
svchost.exe                   2360 Services                   0      7,164 K
svchost.exe                   2380 Services                   0     15,820 K
dwm.exe                       2404 Console                    1    107,764 K
svchost.exe                   2688 Services                   0      7,504 K
svchost.exe                   2856 Services                   0      7,484 K
svchost.exe                   2864 Services                   0      7,356 K
svchost.exe                   2876 Services                   0     11,960 K
svchost.exe                   3052 Services                   0      9,868 K
svchost.exe                   3068 Services                   0      6,488 K
svchost.exe                   2272 Services                   0      5,688 K
svchost.exe                   2168 Services                   0     18,144 K
svchost.exe                   3136 Services                   0      8,868 K
svchost.exe                   3172 Services                   0     10,360 K
svchost.exe                   3180 Services                   0      5,376 K
svchost.exe                   3196 Services                   0     11,952 K
svchost.exe                   3204 Services                   0      7,984 K
svchost.exe                   3344 Services                   0      6,792 K
Memory Compression            3444 Services                   0  1,090,756 K
svchost.exe                   3488 Services                   0      7,576 K
svchost.exe                   3504 Services                   0     11,876 K
svchost.exe                   3512 Services                   0      9,332 K
svchost.exe                   3604 Services                   0      8,040 K
svchost.exe                   3612 Services                   0      6,744 K
svchost.exe                   3800 Services                   0      6,104 K
svchost.exe                   3928 Services                   0     14,076 K
svchost.exe                   3996 Services                   0     15,116 K
svchost.exe                   4040 Services                   0      6,576 K
svchost.exe                   3688 Services                   0      9,628 K
svchost.exe                   3836 Services                   0      6,260 K
svchost.exe                   4132 Services                   0      9,764 K
spoolsv.exe                   4304 Services                   0     13,984 K
svchost.exe                   4524 Services                   0      5,372 K
svchost.exe                   4584 Services                   0     15,700 K
svchost.exe                   4604 Services                   0     40,480 K
svchost.exe                   4612 Services                   0     41,504 K
OneApp.IGCC.WinService.ex     4624 Services                   0     34,236 K
DtsApo4Service.exe            4636 Services                   0     11,248 K
svchost.exe                   4644 Services                   0      7,132 K
OfficeClickToRun.exe          4664 Services                   0     38,680 K
JetBrains.Etw.Collector.H     4672 Services                   0      4,668 K
LANMAN.exe                    4688 Services                   0      8,592 K
jhi_service.exe               4704 Services                   0      5,872 K
dcagentservice.exe            4716 Services                   0     11,636 K
RtkAudUService64.exe          4728 Services                   0      9,776 K
pg_ctl.exe                    4744 Services                   0      6,236 K
vmnetdhcp.exe                 4784 Services                   0      4,552 K
sqlbrowser.exe                4792 Services                   0      5,160 K
RstMwService.exe              4800 Services                   0      7,640 K
svchost.exe                   4808 Services                   0      4,976 K
pg_ctl.exe                    4816 Services                   0      6,292 K
sqlwriter.exe                 4844 Services                   0     17,280 K
svchost.exe                   4852 Services                   0     19,624 K
svchost.exe                   4860 Services                   0     15,460 K
wslservice.exe                4872 Services                   0     21,920 K
APCcSvc.exe                   4904 Services                   0    383,452 K
